id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
2203924,320317,1004,1.92,1.0,1.0,,,,,
2203938,320320,1093,38.0,1.0,1.0,,,,,
2204033,320336,1051,89.3,1.0,1.0,,,,,
2204032,320336,1004,1.97,1.0,1.0,,,,,
2204046,320339,1093,39.0,1.0,1.0,,,,,
2204225,320356,1051,73.8,1.0,1.0,,,,,
2204222,320356,1004,3.46,1.0,1.0,,,,,
2204224,320356,1003,23.4,1.0,1.0,,,,,
2204232,320381,1093,50.0,1.0,1.0,,,,,
2204239,320383,1051,73.4,1.0,1.0,,,,,
2204236,320383,1004,1.91,1.0,1.0,,,,,
2204238,320383,1003,23.9,1.0,1.0,,,,,
2204272,320389,1003,23.5,1.0,1.0,,,,,
2204273,320389,1051,73.2,1.0,1.0,,,,,
2204270,320389,1004,2.81,1.0,1.0,,,,,
2204276,320391,1003,23.8,1.0,1.0,,,,,
2204274,320391,1004,2.07,1.0,1.0,,,,,
2204277,320391,1051,73.3,1.0,1.0,,,,,
2204281,320393,1051,71.6,1.0,1.0,,,,,
2204280,320393,1003,23.8,1.0,1.0,,,,,
2204278,320393,1004,3.3,1.0,1.0,,,,,
2204285,320395,1051,73.1,1.0,1.0,,,,,
2204282,320395,1004,2.24,1.0,1.0,,,,,
2204284,320395,1003,24.0,1.0,1.0,,,,,
2204335,320401,1051,74.6,1.0,1.0,,,,,
2204334,320401,1003,23.9,1.0,1.0,,,,,
2204336,320401,1004,3.01,1.0,1.0,,,,,
2204340,320403,1003,23.3,1.0,1.0,,,,,
2204341,320403,1051,74.1,1.0,1.0,,,,,
2204338,320403,1004,3.45,1.0,1.0,,,,,
2204342,320405,1004,1.98,1.0,1.0,,,,,
2204344,320405,1003,22.9,1.0,1.0,,,,,
2204345,320405,1051,74.7,1.0,1.0,,,,,
2204346,320407,1004,2.27,1.0,1.0,,,,,
2204349,320407,1051,73.6,1.0,1.0,,,,,
2204348,320407,1003,23.3,1.0,1.0,,,,,
2204352,320409,1003,22.7,1.0,1.0,,,,,
2204353,320409,1051,74.7,1.0,1.0,,,,,
2204350,320409,1004,1.47,1.0,1.0,,,,,
2204356,320411,1003,22.6,1.0,1.0,,,,,
2204357,320411,1051,74.2,1.0,1.0,,,,,
2204354,320411,1004,1.74,1.0,1.0,,,,,
2204423,320416,1051,92.8,1.0,1.0,,,,,
2204425,320421,1051,90.9,1.0,1.0,,,,,
2204427,320426,1051,92.4,1.0,1.0,,,,,
2204429,320431,1051,92.9,1.0,1.0,,,,,
2204431,320436,1051,93.0,1.0,1.0,,,,,
2204433,320441,1051,91.6,1.0,1.0,,,,,
2204436,320448,1004,0.7,1.0,1.0,,,,,
2204437,320448,1051,93.0,1.0,1.0,,,,,
2204453,320450,1093,6.0,1.0,1.0,,,,,
2204456,320456,1004,0.6,1.0,1.0,,,,,
2204457,320456,1051,92.7,1.0,1.0,,,,,
2204477,320459,1093,4.0,1.0,1.0,,,,,
2204480,320465,1004,0.5,1.0,1.0,,,,,
2204481,320465,1051,93.6,1.0,1.0,,,,,
2204509,320469,1093,5.0,1.0,1.0,,,,,
2204519,320478,1051,92.0,1.0,1.0,,,,,
2204522,320483,1004,0.46,1.0,1.0,,,,,
2204523,320483,1051,93.4,1.0,1.0,,,,,
2204532,320484,1093,7.0,1.0,1.0,,,,,
2204534,320487,1051,92.5,1.0,1.0,,,,,
2204536,320492,1051,93.3,1.0,1.0,,,,,
2204538,320497,1051,92.6,1.0,1.0,,,,,
2204542,320502,1051,92.7,1.0,1.0,,,,,
2204541,320502,1004,0.82,1.0,1.0,,,,,
2204551,320503,1093,3.0,1.0,1.0,,,,,
2204553,320505,1051,91.0,1.0,1.0,,,,,
2204555,320510,1051,91.5,1.0,1.0,,,,,
2204558,320517,1004,0.69,1.0,1.0,,,,,
2204559,320517,1051,92.6,1.0,1.0,,,,,
2204587,320521,1093,10.0,1.0,1.0,,,,,
2219792,321358,1051,58.7,11.0,1.0,56.1,65.6,57.6,,2015.0
2219740,321358,1003,7.35,,49.0,6.2,8.05,7.79,,
2219751,321358,1093,438.0,11.0,1.0,387.0,489.0,444.0,,2015.0
2219786,321358,1004,17.1,11.0,1.0,11.9,19.1,18.2,,2015.0
2219787,321358,1005,14.9,,49.0,,,,,
2219880,321359,1005,4.91,,49.0,,,,,
2219914,321359,1004,1.9,24.0,1.0,1.68,2.06,1.92,,2018.0
2219829,321359,1003,3.35,,49.0,3.0,3.7,3.32,,
2219919,321359,1093,39.0,12.0,1.0,36.0,46.0,38.0,,2018.0
2219913,321359,1051,89.1,24.0,1.0,88.0,90.7,89.1,,2018.0
2219983,321360,1051,92.5,18.0,1.0,90.9,93.6,92.7,,2016.0
2220032,321360,1005,5.51,,49.0,,,,,
2220031,321360,1003,0.83,,49.0,0.75,0.94,0.81,,
2220002,321360,1093,6.0,6.0,1.0,3.0,10.0,5.0,,2016.0
2219986,321360,1004,0.63,6.0,1.0,0.46,0.82,0.64,,2016.0
2220045,321365,1093,37200.0,1.0,1.0,,,,,
2220047,321366,1051,0.0,1.0,1.0,,,,,
2220057,321371,1093,38900.0,1.0,1.0,,,,,
2220059,321372,1051,0.0,1.0,1.0,,,,,
2220069,321377,1093,38100.0,1.0,1.0,,,,,
2220071,321378,1051,0.92,1.0,1.0,,,,,
2220081,321383,1093,37300.0,1.0,1.0,,,,,
2220091,321388,1093,38600.0,1.0,1.0,,,,,
2220101,321393,1093,37700.0,1.0,1.0,,,,,
2220111,321398,1093,40100.0,1.0,1.0,,,,,
2220113,321399,1051,1.05,1.0,1.0,,,,,
2220123,321404,1093,38400.0,1.0,1.0,,,,,
2220125,321405,1051,0.0,1.0,1.0,,,,,
2220135,321410,1093,39500.0,1.0,1.0,,,,,
2220137,321411,1051,0.65,1.0,1.0,,,,,
2220147,321416,1093,38100.0,1.0,1.0,,,,,
2220157,321421,1093,38300.0,1.0,1.0,,,,,
2220159,321422,1051,0.0,1.0,1.0,,,,,
2220169,321427,1093,40300.0,1.0,1.0,,,,,
2220171,321428,1051,0.65,1.0,1.0,,,,,
2220181,321433,1093,39100.0,1.0,1.0,,,,,
2220183,321434,1051,1.0,1.0,1.0,,,,,
2220193,321439,1093,39400.0,1.0,1.0,,,,,
2220195,321440,1051,0.0,1.0,1.0,,,,,
2220205,321445,1093,39000.0,1.0,1.0,,,,,
2220215,321450,1093,38000.0,1.0,1.0,,,,,
2220217,321451,1051,0.62,1.0,1.0,,,,,
2220227,321456,1093,38400.0,1.0,1.0,,,,,
2220229,321457,1051,0.86,1.0,1.0,,,,,
2220239,321462,1093,38200.0,1.0,1.0,,,,,
2220241,321463,1051,0.84,1.0,1.0,,,,,
2220252,321469,1093,40700.0,1.0,1.0,,,,,
2220254,321470,1051,0.69,1.0,1.0,,,,,
2220256,321471,1051,0.0,1.0,1.0,,,,,
2220258,321472,1051,0.0,1.0,1.0,,,,,
2220260,321473,1051,0.09,1.0,1.0,,,,,
2220271,321479,1093,37200.0,1.0,1.0,,,,,
2220273,321480,1051,0.61,1.0,1.0,,,,,
2220283,321485,1093,38200.0,1.0,1.0,,,,,
2220285,321486,1051,0.0,1.0,1.0,,,,,
2220295,321491,1093,39000.0,1.0,1.0,,,,,
2220297,321492,1051,0.0,1.0,1.0,,,,,
2220307,321497,1093,38600.0,1.0,1.0,,,,,
2220309,321498,1051,0.0,1.0,1.0,,,,,
2220319,321503,1093,39600.0,1.0,1.0,,,,,
2220321,321504,1051,0.64,1.0,1.0,,,,,
2220329,321505,1051,0.42,19.0,1.0,0.0,1.05,0.61,,2018.0
2220325,321505,1093,38700.0,24.0,1.0,37200.0,40700.0,38500.0,,2018.0
2220341,321510,1093,319.0,1.0,1.0,,,,,
2220345,321511,1051,93.0,1.0,1.0,,,,,
2220344,321511,1004,0.43,1.0,1.0,,,,,
2220354,321519,1093,327.0,1.0,1.0,,,,,
2220357,321520,1004,0.38,1.0,1.0,,,,,
2220358,321520,1051,93.1,1.0,1.0,,,,,
2220367,321525,1093,315.0,1.0,1.0,,,,,
2220370,321526,1004,0.43,1.0,1.0,,,,,
2220371,321526,1051,93.3,1.0,1.0,,,,,
2220386,321535,1093,328.0,1.0,1.0,,,,,
2220389,321536,1004,0.3,1.0,1.0,,,,,
2220390,321536,1051,93.9,1.0,1.0,,,,,
2220405,321545,1093,301.0,1.0,1.0,,,,,
2220409,321546,1051,93.2,1.0,1.0,,,,,
2220408,321546,1004,0.43,1.0,1.0,,,,,
2220418,321554,1093,319.0,1.0,1.0,,,,,
2220422,321555,1051,93.1,1.0,1.0,,,,,
2220421,321555,1004,0.38,1.0,1.0,,,,,
2220437,321564,1093,234.0,1.0,1.0,,,,,
2220440,321565,1004,0.35,1.0,1.0,,,,,
2220441,321565,1051,94.1,1.0,1.0,,,,,
2220450,321570,1093,309.0,1.0,1.0,,,,,
2220454,321571,1051,94.2,1.0,1.0,,,,,
2220453,321571,1004,0.38,1.0,1.0,,,,,
2220469,321580,1093,183.0,1.0,1.0,,,,,
2220473,321581,1051,93.5,1.0,1.0,,,,,
2220472,321581,1004,0.47,1.0,1.0,,,,,
2220482,321589,1093,237.0,1.0,1.0,,,,,
2220485,321590,1004,0.41,1.0,1.0,,,,,
2220486,321590,1051,93.4,1.0,1.0,,,,,
2220495,321598,1093,263.0,1.0,1.0,,,,,
2220499,321599,1051,94.0,1.0,1.0,,,,,
2220498,321599,1004,0.39,1.0,1.0,,,,,
2220514,321608,1093,243.0,1.0,1.0,,,,,
2220518,321609,1051,93.8,1.0,1.0,,,,,
2220517,321609,1004,0.37,1.0,1.0,,,,,
2220528,321611,1051,93.6,12.0,1.0,93.0,94.2,93.5,,2015.0
2220532,321611,1005,4.11,,49.0,,,,,
2220531,321611,1004,0.39,12.0,1.0,0.3,0.47,0.38,,2015.0
2220543,321611,1003,1.04,,49.0,0.81,1.25,1.06,,
2220538,321611,1093,282.0,12.0,1.0,183.0,328.0,305.0,,2015.0
2220550,321616,1051,89.0,1.0,1.0,,,,,
2220552,321619,1051,89.2,1.0,1.0,,,,,
2220554,321626,1051,88.1,1.0,1.0,,,,,
2220556,321629,1051,88.2,1.0,1.0,,,,,
2220558,321636,1051,87.3,1.0,1.0,,,,,
2220560,321639,1051,87.9,1.0,1.0,,,,,
2220562,321646,1051,88.8,1.0,1.0,,,,,
2220564,321649,1051,88.9,1.0,1.0,,,,,
2220582,321660,1051,90.1,1.0,1.0,,,,,
2220584,321660,1004,0.38,1.0,1.0,,,,,
2220589,321661,1093,28.0,1.0,1.0,,,,,
2220614,321673,1051,90.4,1.0,1.0,,,,,
2220616,321673,1004,0.41,1.0,1.0,,,,,
2220628,321682,1051,90.2,1.0,1.0,,,,,
2220627,321682,1004,0.37,1.0,1.0,,,,,
2220728,321706,1004,0.36,1.0,1.0,,,,,
2220726,321706,1051,91.1,1.0,1.0,,,,,
2220734,321709,1004,0.22,1.0,1.0,,,,,
2220732,321709,1051,91.1,1.0,1.0,,,,,
2220742,321710,1093,37.0,1.0,1.0,,,,,
2220776,321731,1004,0.3,1.0,1.0,,,,,
2220774,321731,1051,91.0,1.0,1.0,,,,,
2220784,321732,1093,38.0,1.0,1.0,,,,,
2220809,321745,1004,0.42,1.0,1.0,,,,,
2220807,321745,1051,90.9,1.0,1.0,,,,,
2220810,321747,1004,0.52,1.0,1.0,,,,,
2220813,321747,1051,90.6,1.0,1.0,,,,,
2220815,321748,1051,90.6,1.0,1.0,,,,,
2220817,321748,1004,0.47,1.0,1.0,,,,,
2220825,321749,1093,31.0,1.0,1.0,,,,,
2220872,321775,1004,0.34,1.0,1.0,,,,,
2220870,321775,1051,91.9,1.0,1.0,,,,,
2220880,321776,1093,25.0,1.0,1.0,,,,,
2220942,321790,1004,0.3,1.0,1.0,,,,,
2220940,321790,1051,91.9,1.0,1.0,,,,,
2220954,321793,1004,0.29,1.0,1.0,,,,,
2220952,321793,1051,91.8,1.0,1.0,,,,,
2220962,321794,1093,32.0,1.0,1.0,,,,,
2221029,321809,1051,91.8,1.0,1.0,,,,,
2221031,321809,1004,0.45,1.0,1.0,,,,,
2221034,321817,1051,91.2,1.0,1.0,,,,,
2221033,321817,1004,0.31,1.0,1.0,,,,,
2221043,321818,1093,32.0,1.0,1.0,,,,,
2221076,321831,1051,90.8,1.0,1.0,,,,,
2221075,321831,1004,0.43,1.0,1.0,,,,,
2221085,321832,1093,62.0,1.0,1.0,,,,,
2221120,321850,1093,51.0,1.0,1.0,,,,,
2221163,321862,1004,0.23,1.0,1.0,,,,,
2221164,321862,1051,90.4,1.0,1.0,,,,,
2221174,321865,1004,0.35,1.0,1.0,,,,,
2221175,321865,1051,90.4,1.0,1.0,,,,,
2221184,321866,1093,42.0,1.0,1.0,,,,,
2221238,321889,1004,0.41,1.0,1.0,,,,,
2221239,321889,1051,90.4,1.0,1.0,,,,,
2221248,321890,1093,39.0,1.0,1.0,,,,,
2221300,321900,1051,90.0,12.0,1.0,87.3,91.9,90.3,,2001.0
2221316,321900,1003,2.57,,49.0,1.54,3.55,2.57,,
2221296,321900,1004,0.34,8.0,1.0,0.23,0.41,0.34,,2001.0
2221324,321900,1093,36.0,7.0,1.0,25.0,51.0,37.0,,2001.0
2221278,321900,1005,6.29,,49.0,,,,,
2221373,321903,1051,89.8,1.0,1.0,,,,,
2221372,321903,1004,1.07,1.0,1.0,,,,,
2221381,321909,1004,1.02,1.0,1.0,,,,,
2221382,321909,1051,90.0,1.0,1.0,,,,,
2221391,321915,1051,89.7,1.0,1.0,,,,,
2221390,321915,1004,0.92,1.0,1.0,,,,,
2221476,321924,1051,88.0,1.0,1.0,,,,,
2221475,321924,1004,0.93,1.0,1.0,,,,,
2221489,321927,1093,48.0,1.0,1.0,,,,,
2221585,321944,1051,89.9,1.0,1.0,,,,,
2221584,321944,1004,0.94,1.0,1.0,,,,,
2221598,321947,1093,37.0,1.0,1.0,,,,,
2221692,321963,1004,1.19,1.0,1.0,,,,,
2221693,321963,1051,90.0,1.0,1.0,,,,,
2221706,321966,1093,37.0,1.0,1.0,,,,,
2221800,321982,1004,0.92,1.0,1.0,,,,,
2221801,321982,1051,91.8,1.0,1.0,,,,,
2221841,321988,1093,44.0,1.0,1.0,,,,,
2221937,322005,1051,90.0,1.0,1.0,,,,,
2221936,322005,1004,1.0,1.0,1.0,,,,,
2221950,322008,1093,39.0,1.0,1.0,,,,,
2222045,322024,1051,89.9,1.0,1.0,,,,,
2222044,322024,1004,1.12,1.0,1.0,,,,,
2222085,322030,1093,38.0,1.0,1.0,,,,,
2222091,322035,1004,1.14,1.0,1.0,,,,,
2222106,322045,1051,88.2,1.0,1.0,,,,,
2222105,322045,1004,0.94,1.0,1.0,,,,,
2222114,322051,1004,0.87,1.0,1.0,,,,,
2222115,322051,1051,86.9,1.0,1.0,,,,,
2222124,322057,1051,90.3,1.0,1.0,,,,,
2222123,322057,1004,0.72,1.0,1.0,,,,,
2222133,322063,1051,89.9,1.0,1.0,,,,,
2222132,322063,1004,0.94,1.0,1.0,,,,,
2222142,322069,1051,90.2,1.0,1.0,,,,,
2222141,322069,1004,0.98,1.0,1.0,,,,,
2222150,322075,1004,0.85,1.0,1.0,,,,,
2222151,322075,1051,90.1,1.0,1.0,,,,,
2222159,322081,1004,0.92,1.0,1.0,,,,,
2222160,322081,1051,90.2,1.0,1.0,,,,,
2222243,322089,1004,1.07,1.0,1.0,,,,,
2222244,322089,1051,89.7,1.0,1.0,,,,,
2222257,322092,1093,38.0,1.0,1.0,,,,,
2222352,322109,1004,0.87,1.0,1.0,,,,,
2222353,322109,1051,88.9,1.0,1.0,,,,,
2222393,322115,1093,37.0,1.0,1.0,,,,,
2222488,322132,1004,0.84,1.0,1.0,,,,,
2222489,322132,1051,90.6,1.0,1.0,,,,,
2222529,322138,1093,39.0,1.0,1.0,,,,,
2222623,322154,1004,0.89,1.0,1.0,,,,,
2222624,322154,1051,89.9,1.0,1.0,,,,,
2222664,322160,1093,38.0,1.0,1.0,,,,,
2222684,322175,1004,0.91,1.0,1.0,,,,,
2222685,322175,1051,89.4,1.0,1.0,,,,,
2222721,322184,1051,88.7,1.0,1.0,,,,,
2222720,322184,1004,0.96,1.0,1.0,,,,,
2222805,322192,1051,90.6,1.0,1.0,,,,,
2222804,322192,1004,0.87,1.0,1.0,,,,,
2222818,322195,1093,36.0,1.0,1.0,,,,,
2222913,322211,1051,89.9,1.0,1.0,,,,,
2222912,322211,1004,1.01,1.0,1.0,,,,,
2222926,322214,1093,38.0,1.0,1.0,,,,,
2222931,322218,1004,1.04,1.0,1.0,,,,,
2222953,322228,1003,3.38,,49.0,3.06,4.02,3.38,,
